db,K,query_id,status,ours_count,rls_count,error_type,error_msg
tpch0_1,1,1,ok,3,3,,
tpch0_1,1,2,ok,41,41,,
tpch0_1,1,3,ok,1139,1139,,
tpch0_1,1,4,ok,0,0,,
tpch0_1,1,5,ok,5,5,,
tpch0_1,1,6,ok,11482,11482,,
tpch0_1,1,7,ok,2,2,,
tpch0_1,1,8,ok,1,1,,
tpch0_1,1,9,ok,100,100,,
tpch0_1,1,10,ok,3845,3845,,
tpch0_1,1,11,ok,2753,2753,,
tpch0_1,1,12,ok,2,2,,
tpch0_1,1,13,ok,37,37,,
tpch0_1,1,14,ok,1,1,,
tpch0_1,1,15,ok,0,0,,
tpch0_1,1,16,ok,2846,2846,,
tpch0_1,1,17,ok,1,1,,
tpch0_1,1,18,ok,0,0,,
tpch0_1,1,19,ok,1,1,,
tpch0_1,1,21,ok,43,43,,
tpch0_1,1,22,ok,7,7,,
tpch0_1,5,1,ok,1,1,,
tpch0_1,5,2,ok,41,41,,
tpch0_1,5,3,ok,24,24,,
tpch0_1,5,4,ok,0,0,,
tpch0_1,5,5,ok,3,3,,
tpch0_1,5,6,ok,395,395,,
tpch0_1,5,7,ok,0,0,,
tpch0_1,5,8,ok,0,0,,
tpch0_1,5,9,ok,62,62,,
tpch0_1,5,10,ok,174,174,,
tpch0_1,5,11,ok,2753,2753,,
tpch0_1,5,12,ok,1,1,,
tpch0_1,5,13,ok,37,37,,
tpch0_1,5,14,ok,1,1,,
tpch0_1,5,15,ok,0,0,,
tpch0_1,5,16,ok,2846,2846,,
tpch0_1,5,17,ok,1,1,,
tpch0_1,5,18,ok,0,0,,
tpch0_1,5,19,ok,1,1,,
tpch0_1,5,21,ok,1,1,,
tpch0_1,5,22,ok,7,7,,
tpch0_1,10,1,ok,1,1,,
tpch0_1,10,2,ok,41,41,,
tpch0_1,10,3,ok,0,0,,
tpch0_1,10,4,ok,0,0,,
tpch0_1,10,5,ok,0,0,,
tpch0_1,10,6,ok,395,395,,
tpch0_1,10,7,ok,0,0,,
tpch0_1,10,8,ok,0,0,,
tpch0_1,10,9,ok,62,62,,
tpch0_1,10,10,mismatch,3845,0,count_mismatch,
tpch0_1,10,11,ok,2753,2753,,
tpch0_1,10,12,ok,1,1,,
tpch0_1,10,13,ok,0,0,,
tpch0_1,10,14,ok,1,1,,
tpch0_1,10,15,ok,0,0,,
tpch0_1,10,16,ok,2846,2846,,
tpch0_1,10,17,ok,1,1,,
tpch0_1,10,18,error,,0,db_error,ours: pid=198131 SSL SYSCALL error: EOF detected
tpch0_1,10,19,ok,1,1,,
tpch0_1,10,21,ok,1,1,,
tpch0_1,10,22,ok,0,0,,
tpch0_1,15,1,ok,0,0,,
tpch0_1,15,2,ok,41,41,,
tpch0_1,15,3,ok,0,0,,
tpch0_1,15,4,ok,0,0,,
tpch0_1,15,5,ok,0,0,,
tpch0_1,15,6,ok,0,0,,
tpch0_1,15,7,ok,0,0,,
tpch0_1,15,8,ok,0,0,,
tpch0_1,15,9,ok,0,0,,
tpch0_1,15,10,ok,0,0,,
tpch0_1,15,11,ok,2753,2753,,
tpch0_1,15,12,ok,0,0,,
tpch0_1,15,13,mismatch,1,0,count_mismatch,
tpch0_1,15,14,ok,1,1,,
tpch0_1,15,15,ok,0,0,,
tpch0_1,15,16,ok,2846,2846,,
tpch0_1,15,17,ok,1,1,,
tpch0_1,15,18,ok,0,0,,
tpch0_1,15,19,ok,1,1,,
tpch0_1,15,21,ok,0,0,,
tpch0_1,15,22,mismatch,7,0,count_mismatch,
tpch0_1,20,1,ok,0,0,,
tpch0_1,20,2,ok,0,0,,
tpch0_1,20,3,ok,0,0,,
tpch0_1,20,4,ok,0,0,,
tpch0_1,20,5,ok,0,0,,
tpch0_1,20,6,ok,0,0,,
tpch0_1,20,7,ok,0,0,,
tpch0_1,20,8,ok,0,0,,
tpch0_1,20,9,ok,0,0,,
tpch0_1,20,10,ok,0,0,,
tpch0_1,20,11,ok,0,0,,
tpch0_1,20,12,ok,0,0,,
tpch0_1,20,13,mismatch,1,0,count_mismatch,
tpch0_1,20,14,ok,1,1,,
tpch0_1,20,15,ok,0,0,,
tpch0_1,20,16,ok,55,55,,
tpch0_1,20,17,ok,1,1,,
tpch0_1,20,18,ok,0,0,,
tpch0_1,20,19,ok,1,1,,
tpch0_1,20,21,ok,0,0,,
tpch0_1,20,22,mismatch,7,0,count_mismatch,
